# O'zbek tili G2P leksikoni (qoida asosida yaratilgan)
# ustunlar: so'z / fonemalar / holat (aniq | noaniq) / variantlar soni
to‘g‘ri	t ɵ ʁ r i	aniq	1
to‘liq	t ɵ l i q	aniq	1
to‘plam	t ɵ p l a m	aniq	1
to‘qnashgan	t ɵ q n a ʃ g a n	aniq	1
to‘rt	t ɵ r t	aniq	1
to‘xtadi	t ɵ x t a d i	aniq	1
tunda	t u n d a	aniq	1
tuproq	t u p r o q	aniq	1
tupua	t u p u a	aniq	1
turini	t u r i n i	aniq	1
turli	t u r l i	aniq	1
tushunishga	t u ʃ u n i ʃ g a	aniq	1
tutdi	t u t d i	aniq	1
u	u	aniq	1
uchish	u tʃ i ʃ	aniq	1
uchtagacha	u tʃ t a g a tʃ a	aniq	1
uchun	u tʃ u n	aniq	1
ulardan	u l a r d a n	aniq	1
ularni	u l a r n i	aniq	1
ularning	u l a r n i ŋ	aniq	1
umid	u m i d	aniq	1
undan	u n d a n	aniq	1
uning	u n i ŋ	aniq	1
unsurning	u n s u r n i ŋ	aniq	1
urg‘ochisi	u r ʁ o tʃ i s i	aniq	1
urilgan	u r i l g a n	aniq	1
usoc	u s o s	noaniq	1
ustun	u s t u n	aniq	1
uzatmalarni	u z a t m a l a r n i	aniq	1
uzluksiz	u z l u k s i z	aniq	1
uzun	u z u n	aniq	1
va	v a	aniq	1
vafot	v a f o t	aniq	1
vakolatli	v a k o l a t l i	aniq	1
vaqtida	v a q t i d a	aniq	1
variatsiyalarni	v a r i a t s i j a l a r n i	aniq	1
vaziri	v a z i r i	aniq	1
vazirining	v a z i r i n i ŋ	aniq	1
viket	v i k e t	aniq	1
viketini	v i k e t i n i	aniq	1
vong	v o ŋ	aniq	1
voyaga	v o j a g a	aniq	1
wild	v i l d	noaniq	1
xalq	x a l q	aniq	1
xaritasi	x a r i t a s i	aniq	1
xavfsiz	x a v f s i z	aniq	1
xazinaning	x a z i n a n i ŋ	aniq	1
xohlashingiz	x o h l a ʃ i ŋ i z	noaniq	2
xonada	x o n a d a	aniq	1
yakunida	j a k u n i d a	aniq	1
yakunlash	j a k u n l a ʃ	aniq	1
yarim	j a r i m	aniq	1
